time_column,Year,Month,Day,V-TWAS_gal,V-PS_gal,V-HSW_gal,Dig1-T_degF,Dig2-T_degF,Dig1-pH,Dig2-pH,FOG_gal,SRT,HSW-VS_percent,HSW-COD_mgL,Dig1-alk_mgL,Dig2-alk_mgL,Dig1-VFA_mgL,Dig2-VFA_mgL,Dig1-FOS-TAC,Dig2-FOS-TAC,Q-influent_MGD,BOD-influent_mgL,TWAS-VS_percent,PS-VS_percent,Biogas
2020-01-01,2020,1,1,4583,15412,0,95.5,95.4,7.07,7.06,0,42.9,0.0,0.0,4399.0,4214.0,2245.0,2232.0,0.51034325983178,0.5296630280018985,2.7,108.0,3.7,1.9,43.3
2020-01-02,2020,1,2,7690,17232,0,95.3,95.4,7.31,7.24,7328,26.6,0.0,0.0,4285.0,4187.0,2245.0,2232.0,0.5239206534422404,0.5330785765464533,2.85,135.0,3.66,1.9,62.8
2020-01-03,2020,1,3,2516,15412,0,95.2,95.4,7.23,7.21,15537,25.6,0.0,0.0,4269.0,4084.0,2245.0,2232.0,0.5258842820332631,0.5465230166503428,2.7,184.0,3.56,2.3,53.0
2020-01-04,2020,1,4,2429,15865,0,94.9,95.1,6.92,6.99,0,46.9,0.0,0.0,4279.8,4095.0,2245.0,2232.0,0.5245572223001075,0.545054945054945,2.58,253.0,3.53,2.6199999999999997,41.9
2020-01-05,2020,1,5,2447,15556,0,95.7,95.7,6.98,6.98,0,47.7,0.0,0.0,4290.6,4106.0,2245.0,2232.0,0.5232368433319349,0.5435947394057477,2.69,135.7,3.49,2.94,32.5
2020-01-06,2020,1,6,2818,15757,0,95.6,95.5,7.13,7.05,7948,32.3,0.0,0.0,4301.4,4117.0,2245.0,2232.0,0.5219230948063421,0.5421423366529026,2.81,153.0,3.47,3.26,57.8
2020-01-07,2020,1,7,3843,11511,0,95.4,95.6,7.13,7.08,0,55.9,0.0,0.0,4312.2,4128.0,2245.0,2232.0,0.5206159269050601,0.5406976744186046,2.82,401.0,3.41,2.79,37.3
2020-01-08,2020,1,8,2205,9881,0,95.9,95.9,7.12,7.44,15700,30.9,0.0,0.0,4323.0,4139.0,2245.0,2232.0,0.5193152903076568,0.5392606909881614,2.81,649.6,3.15,2.81,50.7
2020-01-09,2020,1,9,2917,10708,0,95.7,95.1,7.16,7.16,2500,53.2,0.0,0.0,4529.0,4502.0,2245.0,2232.0,0.49569441377787593,0.49577965348733893,2.91,549.0,3.44,2.41,48.2
2020-01-10,2020,1,10,3350,9600,0,95.6,95.8,7.2,7.08,12300,34.0,0.0,0.0,4545.0,4518.0,2245.0,2232.0,0.49394939493949397,0.4940239043824701,3.29,663.0,3.63,2.72,56.2
2020-01-11,2020,1,11,3216,18326,0,95.7,95.7,7.11,7.08,0,39.8,0.0,0.0,4769.0,4223.0,2245.0,2232.0,0.4707485846089327,0.5285342173810088,3.18,672.0,3.94,2.7866666666666666,56.7
2020-01-12,2020,1,12,3730,10591,0,95.9,95.8,7.12,7.18,0,59.9,0.0,0.0,4730.0,4240.0,2245.0,2232.0,0.47463002114164904,0.5264150943396226,2.81,558.0,4.5,2.8533333333333335,47.4
2020-01-13,2020,1,13,4702,10180,0,95.5,95.6,7.2,7.16,13000,30.8,0.0,0.0,4862.0,4422.0,2245.0,2232.0,0.46174413821472643,0.5047489823609227,2.99,339.0,3.16,2.92,84.4
2020-01-14,2020,1,14,5037,19700,0,95.6,95.4,7.18,7.11,15250,21.5,0.0,0.0,4769.0,4350.0,2245.0,2232.0,0.4707485846089327,0.5131034482758621,3.12,461.0,3.64,2.86,87.4
2020-01-15,2020,1,15,6425,12269,0,95.5,95.4,7.06,7.02,9000,31.0,0.0,0.0,4774.0,4372.0,2245.0,2232.0,0.4702555509007122,0.5105215004574566,3.03,841.0,3.46,3.1,82.3
2020-01-16,2020,1,16,8938,15977,0,95.7,95.3,7.23,7.23,2400,31.4,0.0,0.0,4840.0,4444.0,2245.0,2232.0,0.46384297520661155,0.5022502250225023,2.92,636.0,3.37,2.9,69.4
2020-01-17,2020,1,17,7398,10896,0,95.3,95.8,7.06,7.04,4000,38.5,0.0,0.0,4868.0,4570.0,2245.0,2232.0,0.4611750205423172,0.4884026258205689,2.9,500.0,3.13,3.18,72.7
2020-01-18,2020,1,18,6644,12617,0,95.4,95.7,6.96,7.02,0,44.5,0.0,0.0,4364.0,4499.0,2245.0,2232.0,0.5144362969752521,0.4961102467214937,3.05,398.0,3.7,2.9933333333333336,47.2
2020-01-19,2020,1,19,6698,11836,0,95.4,95.4,6.56,6.55,0,46.3,0.0,0.0,4533.0,4403.0,2245.0,2232.0,0.49525700419148466,0.5069270951623893,2.73,669.0,2.9,2.8066666666666666,39.6
2020-01-20,2020,1,20,5590,15139,0,95.5,95.8,6.53,6.62,9500,28.4,0.0,0.0,4652.0,4381.0,2245.0,2232.0,0.48258813413585555,0.5094727231225747,2.8,364.0,2.81,2.62,60.5
2020-01-21,2020,1,21,6182,9811,0,95.3,95.2,7.18,7.13,15000,27.7,0.0,0.0,4685.0,4403.0,2245.0,2232.0,0.4791889007470651,0.5069270951623893,2.9,304.0,2.63,2.88,52.0
2020-01-22,2020,1,22,6203,9983,0,95.6,95.8,7.09,7.05,6500,37.8,0.0,0.0,4719.0,4477.0,2245.0,2232.0,0.4757363848272939,0.4985481349117713,2.95,705.0,2.94,2.73,68.0
2020-01-23,2020,1,23,9172,7615,0,95.5,95.3,7.22,7.08,8044,34.6,0.0,0.0,5210.0,4539.0,2245.0,2232.0,0.4309021113243762,0.4917382683410443,2.92,450.0,2.89,2.495,73.5
2020-01-24,2020,1,24,7577,8486,0,95.3,95.1,7.16,7.05,7300,36.7,0.0,0.0,4697.0,4443.0,2245.0,2232.0,0.47796465829252716,0.5023632680621202,3.11,423.0,2.99,2.26,87.8
2020-01-25,2020,1,25,7734,5573,0,95.4,95.8,7.27,7.22,0,64.5,0.0,0.0,4613.4,4376.4,2245.0,2232.0,0.4866259158104652,0.5100082259391281,3.06,346.0,3.27,2.3866666666666667,55.4
