Year,Month,Day,V-TWAS_gal,V-PS_gal,V-HSW_gal,Dig1-T_degF,Dig2-T_degF,Dig1-pH,Dig2-pH,FOG_gal,SRT,HSW-VS_percent,HSW-COD_mgL,Dig1-alk_mgL,Dig2-alk_mgL,Dig1-VFA_mgL,Dig2-VFA_mgL,Dig1-FOS-TAC,Dig2-FOS-TAC,Q-influent_MGD,BOD-influent_mgL,TWAS-VS_percent,PS-VS_percent,Biogas
2020,1,1,4583,15412,0,95.5,95.4,7.07,7.06,0,42.9,0,0,4399,4214,,,,,2.7,108,3.7,1.9,43.3
2020,1,2,7690,17232,0,95.3,95.4,7.31,7.24,7328,26.6,0,0,4285,4187,,,,,2.85,135,3.66,1.9,62.8
2020,1,3,2516,15412,0,95.2,95.4,7.23,7.21,15537,25.6,0,0,4269,4084,,,,,2.7,184,3.56,2.3,53
2020,1,4,2429,15865,0,94.9,95.1,6.92,6.99,0,46.9,0,0,,,,,,,2.58,253,3.53,,41.9
2020,1,5,2447,15556,0,95.7,95.7,6.98,6.98,0,47.7,0,0,,,,,,,2.69,135.7,3.49,,32.5
2020,1,6,2818,15757,0,95.6,95.5,7.13,7.05,7948,32.3,0,0,,,,,,,2.81,153,3.47,3.26,57.8
2020,1,7,3843,11511,0,95.4,95.6,7.13,7.08,0,55.9,0,0,,,,,,,2.82,401,3.41,2.79,37.3
2020,1,8,2205,9881,0,95.9,95.9,7.12,7.44,15700,30.9,0,0,4323,4139,,,,,2.81,649.6,3.15,2.81,50.7
2020,1,9,2917,10708,0,95.7,95.1,7.16,7.16,2500,53.2,0,0,4529,4502,,,,,2.91,549,3.44,2.41,48.2
2020,1,10,3350,9600,0,95.6,95.8,7.2,7.08,12300,34,0,0,4545,4518,,,,,3.29,663,3.63,2.72,56.2
2020,1,11,3216,18326,0,95.7,95.7,7.11,7.08,0,39.8,0,0,4769,4223,,,,,3.18,672,3.94,,56.7
2020,1,12,3730,10591,0,95.9,95.8,7.12,7.18,0,59.9,0,0,4730,4240,,,,,2.81,558,4.5,,47.4
2020,1,13,4702,10180,0,95.5,95.6,7.2,7.16,13000,30.8,0,0,4862,4422,,,,,2.99,339,3.16,2.92,84.4
2020,1,14,5037,19700,0,95.6,95.4,7.18,7.11,15250,21.5,0,0,4769,4350,,,,,3.12,461,3.64,2.86,87.4
2020,1,15,6425,12269,0,95.5,95.4,7.06,7.02,9000,31,0,0,4774,4372,,,,,3.03,841,3.46,3.1,82.3
2020,1,16,8938,15977,0,95.7,95.3,7.23,7.23,2400,31.4,0,0,4840,4444,,,,,2.92,636,3.37,2.9,69.4
2020,1,17,7398,10896,0,95.3,95.8,7.06,7.04,4000,38.5,0,0,4868,4570,,,,,2.9,500,3.13,3.18,72.7
2020,1,18,6644,12617,0,95.4,95.7,6.96,7.02,0,44.5,0,0,4364,4499,,,,,3.05,398,3.7,,47.2
2020,1,19,6698,11836,0,95.4,95.4,6.56,6.55,0,46.3,0,0,4533,4403,,,,,2.73,669,2.9,,39.6
2020,1,20,5590,15139,0,95.5,95.8,6.53,6.62,9500,28.4,0,0,4652,4381,,,,,2.8,364,2.81,2.62,60.5
2020,1,21,6182,9811,0,95.3,95.2,7.18,7.13,15000,27.7,0,0,4685,4403,,,,,2.9,304,2.63,2.88,52
2020,1,22,6203,9983,0,95.6,95.8,7.09,7.05,6500,37.8,0,0,4719,4477,,,,,2.95,705,2.94,2.73,68
2020,1,23,9172,7615,0,95.5,95.3,7.22,7.08,8044,34.6,0,0,5210,4539,,,,,2.92,450,2.89,,73.5
2020,1,24,7577,8486,0,95.3,95.1,7.16,7.05,7300,36.7,0,0,4697,4443,,,,,3.11,423,2.99,2.26,87.8
2020,1,25,7734,5573,0,95.4,95.8,7.27,7.22,0,64.5,0,0,,,,,,,3.06,346,3.27,,55.4
2020,1,26,8476,5628,0,95.2,95.2,7.19,7.28,0,60.8,0,0,,,,,,,2.86,476,3.32,,42.3
2020,1,27,13378,9082,0,95.8,95.7,7.27,7.26,13450,23.9,0,0,,,,,,,2.83,232,3.34,2.64,35.5
2020,1,28,6964,16947,0,95.3,95.3,7.25,7.27,11000,24.6,0,0,,,,,,,2.8,422,3.2,2.47,74.2
2020,1,29,6818,9546,0,95.6,95.8,7.17,7.19,7734,35.6,0,0,4279,4110,,,,,2.94,446,3.39,2.84,77.6
2020,1,30,11564,9062,0,95.7,95.2,7.2,7.11,12000,26.3,0,0,4343,4147,,,,,2.8,704,3.41,1.97,52.5
2020,1,31,8818,7762,0,95.7,95.5,7.1,7.05,10918,31.2,0,0,4352,4124,,,,,2.83,516,3.28,1.75,78.9
2020,2,1,6325,9339,0,95.4,95.3,7.09,7.02,0,54.8,0,0,4360,4318,,,,,3.1,540,,2.95,63.1
2020,2,2,6375,9303,0,95.3,95.5,7.04,7.01,0,54.7,0,0,4454,4346,,,,,3.69,431,3.5,,42.8
2020,2,3,8063,9410,0,95.9,95.6,7.18,7.13,11124,30,0,0,4585,4393,,,,,3.61,369,3.35,3.2,49.6
2020,2,4,9236,9261,0,95.6,95.3,7.3,7.26,16412,24.6,0,0,4655,4407,,,,,3.46,290,3.21,3.8,66.6
2020,2,5,6998,9830,0,95.6,95.8,7.09,7.12,14423,27.5,0,0,4510,4482,,,,,3.35,458,3.2,3.26,65.3
2020,2,6,10537,9935,0,95.3,95.2,7.1,7.07,8500,29.6,0,0,4669,4346,,,,,3.27,542,3.32,2.99,52
2020,2,7,13361,11237,0,95.9,95.8,7.26,7.26,10349,24.6,0,0,4613,4426,,,,,3.18,585,3.9,3.9,60.3
2020,2,8,12428,9746,0,95.5,95.7,7.17,7.12,0,38.7,0,0,4471,4392,,,,,3.04,601,2.34,,53.7
2020,2,9,12169,8532,0,95.7,95.4,7.12,7.08,0,41.4,0,0,4504,4326,,,,,2.94,382,3.48,,43.1
2020,2,10,11280,10939,0,95.6,95.4,7.09,7.05,5000,31.5,0,0,4790,4420,,,,,2.99,145,3.51,2.21,50.4
2020,2,11,11749,10792,0,95.8,95,7.16,7.13,5000,31.2,0,0,4748,4612,,,,,2.97,178,3.5,2.46,45.4
2020,2,12,12009,9752,0,95.3,95.5,7.24,7.17,9550,27.4,0,0,4739,4650,,,,,3.1,502,3.55,2.54,69.4
2020,2,13,15963,10618,0,95.9,95.7,7.22,7.26,0,32.3,0,0,4617,4701,,,,,2.92,813,3.55,2.37,55.3
2020,2,14,12506,10263,0,95.6,95.2,7.31,7.29,12900,24.1,0,0,4917,4678,,,,,2.97,624,3.56,2.58,70.7
2020,2,15,11998,6817,0,95.5,95.5,7.21,7.19,0,45.6,0,0,4701,4767,,,,,3.02,665,3.78,,52.1
2020,2,16,11537,9533,0,95.3,95.5,7.13,7.16,0,40.7,0,0,4894,4960,,,,,2.83,659,3.93,,46.8
2020,2,17,11292,12499,0,95.6,95.5,7.19,7.17,0,36.1,0,0,5064,5088,,,,,2.96,478,3.83,,45.5
2020,2,18,11140,11159,0,95.7,95.4,7.3,7.23,11000,25.8,0,0,5111,4965,,,,,2.96,210,3.69,2.47,79.3
2020,2,19,10486,11252,0,95.8,95.3,7.41,7.42,5875,31.1,0,0,5050,5154,,,,,2.84,406,3.66,2.68,73.5
